plan_name,plan_data_gb,plan_price_eur,plan_max_speed_mbps,plan_network_type,age,city,region,urban,monthly_data_gb,monthly_call_minutes,monthly_sms,international_calls,payment_method,customer_tenure_months,avg_download_speed_mbps,network_complaints_last_6_months,dropped_calls_per_month,churn,contract_type
Mobile Easy,10,19.99,250,5G,42,Mons,Wallonia,No,7.1,498,12,No,Direct debit,33,165,3,3,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,23,Ghent,Flanders,Yes,166.6,811,18,No,Direct debit,2,397,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,44,Leuven,Flanders,Yes,67.3,234,33,No,Direct debit,6,266,1,2,No,Month-to-month
Mobile Smart,60,24.99,500,5G,47,Antwerp,Flanders,Yes,33.8,456,85,No,Direct debit,8,270,1,0,No,Month-to-month
Mobile Essential,5,16.99,220,4G,46,Hasselt,Flanders,No,2.3,115,113,No,Direct debit,20,112,1,2,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,52,Antwerp,Flanders,Yes,5.5,237,53,Yes,Bank transfer,4,99,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,50,Antwerp,Flanders,Yes,3.6,1312,3,Yes,Direct debit,4,163,0,1,No,Month-to-month
Mobile Maxi,120,29.99,500,5G,45,Mechelen,Flanders,No,100.0,139,44,No,Direct debit,70,177,1,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,39,Brussels,Brussels,Yes,70.5,599,21,No,Direct debit,40,339,0,1,No,Month-to-month
Mobile Smart,60,24.99,500,5G,20,Brussels,Brussels,Yes,27.2,1036,25,No,Bank transfer,5,249,0,2,No,Month-to-month
Mobile Essential,5,16.99,220,4G,45,Antwerp,Flanders,Yes,4.6,1504,2,No,Direct debit,13,158,0,1,No,Month-to-month
Mobile Unlimited,999,49.99,1000,5G,42,Brussels,Brussels,Yes,42.6,324,8,No,Direct debit,11,576,0,2,Yes,Month-to-month
Mobile Maxi,120,29.99,500,5G,43,Brussels,Brussels,Yes,84.0,493,62,Yes,Direct debit,38,184,3,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,24,Ghent,Flanders,Yes,10.4,404,24,Yes,Bank transfer,18,101,0,1,No,Month-to-month
Mobile Essential,5,16.99,220,4G,27,Namur,Wallonia,No,3.7,574,14,No,Direct debit,4,124,3,1,Yes,Month-to-month
Mobile Essential,5,16.99,220,4G,52,Mechelen,Flanders,No,6.0,371,19,No,Direct debit,33,146,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,39,Mechelen,Flanders,No,8.5,263,77,No,Bank transfer,13,115,0,1,Yes,Month-to-month
Mobile Smart,60,24.99,500,5G,48,Antwerp,Flanders,Yes,39.4,325,55,Yes,Direct debit,8,213,0,1,No,Month-to-month
Mobile Easy,10,19.99,250,5G,40,Charleroi,Wallonia,Yes,5.8,290,12,No,Direct debit,12,182,1,1,No,Month-to-month
